,img_id,areakm2_BA,nbr_p25_variance_p25,nbr_p25_variance_p5,nbr_p25_variance_p50,nbr_p25_variance_p75,nbr_p25_variance_p95,nbr_p25_variance_p99,nbr_p50_variance_p25,nbr_p50_variance_p5,nbr_p50_variance_p50,nbr_p50_variance_p75,nbr_p50_variance_p95,nbr_p50_variance_p99,nbr_p5_variance_p25,nbr_p5_variance_p5,nbr_p5_variance_p50,nbr_p5_variance_p75,nbr_p5_variance_p95,nbr_p5_variance_p99,nbr_p75_variance_p25,nbr_p75_variance_p5,nbr_p75_variance_p50,nbr_p75_variance_p75,nbr_p75_variance_p95,nbr_p75_variance_p99,nbr_p95_variance_p25,nbr_p95_variance_p5,nbr_p95_variance_p50,nbr_p95_variance_p75,nbr_p95_variance_p95,nbr_p95_variance_p99,nbr_p99_variance_p25,nbr_p99_variance_p5,nbr_p99_variance_p50,nbr_p99_variance_p75,nbr_p99_variance_p95,nbr_p99_variance_p99
111,LC08_174080_20190806,0.0,0.00022504650665156124,0.00022504650665156124,0.00022504650665156124,0.0006853693242197513,0.0026654408611755283,0.0060917644172560235,0.0001903944510128217,0.0001903944510128217,0.0001903944510128217,0.0001903944510128217,0.0011914537271229876,0.0021614948168513213,0.00022748025192947317,0.00022748025192947317,0.00022748025192947317,0.0006862058791379631,0.0026648720340808705,0.006571732171365544,0.0002320948795054603,0.0002320948795054603,0.0002320948795054603,0.0002320948795054603,0.0011848495837099608,0.002179966368931833,0.00023336761523541256,0.00023336761523541256,0.00023336761523541256,0.00023336761523541256,0.001184180578063891,0.002182873890590619,0.00023341085306484132,0.00023341085306484132,0.00023341085306484132,0.00023341085306484132,0.0011842105792627523,0.002182873890590619
112,LC08_174080_20190822,0.0,0.0002697345698241965,0.0002697345698241965,0.0002697345698241965,0.0006713307808865437,0.004150643360334084,0.010481035385211918,0.00021296253084482285,0.00021296253084482285,0.00021296253084482285,0.0006752561614614831,0.003158541803141623,0.0099950709980902,0.00027276503027181696,0.00027276503027181696,0.00027276503027181696,0.0006713720684715821,0.004145340300782246,0.01049282765945457,0.0002293121416551835,0.0002293121416551835,0.0002293121416551835,0.0006698280081171758,0.003654034630251193,0.010487644931699095,0.0002317458931338238,0.0002317458931338238,0.0002317458931338238,0.0006696438602285783,0.0036538184651391144,0.010484202785191283,0.00023173120598205072,0.00023173120598205072,0.00023173120598205072,0.0006695728576994719,0.0036538184651391144,0.010484202785191283
113,LC08_174081_20190806,0.0,0.0007062783678602524,0.00027037635714461403,0.0021815654384774435,0.010979284398037886,0.02854268271184643,0.04271411970095821,0.00035277583999035055,0.00014341908235854088,0.0008489931184857928,0.0028136616297097703,0.011344931507251186,0.02625665254890873,0.0007072989206598075,0.00027225971614915323,0.002182930886698594,0.01097653840505635,0.02855186292944604,0.04321404495354985,0.0003511925040206659,0.0001402545328403161,0.0003511925040206659,0.00084535845115868,0.006954026643462227,0.02648778308674348,0.00035177340467778867,0.00014038131406363255,0.00035177340467778867,0.0008455578749466974,0.006725145620774033,0.02648877504188307,0.00035177639319652996,0.00014037442090303865,0.00035177639319652996,0.0008455184977680722,0.006725145620774033,0.02648877504188307
114,LC08_174081_20190822,0.0,0.0003560586169200305,0.00015201723324942632,0.001093054864227241,0.005246303234643857,0.021362878873790337,0.03135999912892376,0.00011244921385139531,0.00011244921385139531,0.00035724175424586753,0.001092714992486932,0.005983453188542748,0.021611486279164618,0.00035563060271427607,0.00015362816668856123,0.0010921605729647494,0.0054906782907061516,0.021366264676670417,0.03162565995609883,0.00011032222339848141,0.00011032222339848141,0.0003562964431851181,0.0008450749484875849,0.005003498373130252,0.02185192569462682,0.00011028574284497996,0.00011028574284497996,0.0003554327650859325,0.000844953990852764,0.0050014637595293026,0.02186866533744529,0.00011026994018956463,0.00011026994018956463,0.0003554892581417539,0.0008449435237597704,0.004748609350308094,0.02186866533744529
115,LC08_174082_20190806,0.0,0.004382488274210804,0.0004833274272229088,0.01415742499522747,0.03075253895927926,0.05712031322128186,0.07274441295073829,0.0007061489555533499,0.00022037765082502677,0.002680738378802368,0.007069599149397965,0.016848459861408885,0.03196576016544163,0.005371244910851054,0.0004862577757165933,0.015126763447625452,0.030754046114618856,0.05711144390145683,0.07272490067891414,0.00022015711466878124,0.00022015711466878124,0.00022015711466878124,0.0006931556946040678,0.010488062054306637,0.0324617480546586,0.00022164018692399175,0.00022164018692399175,0.00022164018692399175,0.0006927317522580951,0.010492357031022347,0.03247420217837869,0.00022162025981780373,0.00022162025981780373,0.00022162025981780373,0.0006928348783278692,0.010492357031022347,0.03247420217837869
116,LC08_174082_20190822,0.0,0.002186885489276634,0.0002498576507491086,0.009513812893451505,0.02611295040861479,0.054905760202540704,0.0705141285743347,0.0001365659543062771,0.0001365659543062771,0.0007144321506111051,0.004141458294964072,0.014411662932959514,0.02371765082398491,0.0021891756709855733,0.000251343397893998,0.010009812462692218,0.026605201492448625,0.05541347663522057,0.07107804552697787,0.00015735500532173502,0.00015735500532173502,0.00015735500532173502,0.00015735500532173502,0.002671805749977574,0.017769176501542125,0.00015804340438667675,0.00015804340438667675,0.00015804340438667675,0.00015804340438667675,0.00267290410752344,0.01735219762658944,0.00015801519449254694,0.00015801519449254694,0.00015801519449254694,0.00015801519449254694,0.0026729985961373667,0.01735219762658944
117,LC08_174083_20190806,0.0,0.005368497080082906,0.0005819677889861607,0.016095919542909388,0.03075864211782407,0.05222289158409042,0.07170815266938575,0.0012107793355516422,0.0002670267859155429,0.004145884407558615,0.009033776125539397,0.025128554089339367,0.045612082739457306,0.00536654431635849,0.0005901062614814958,0.01608819449723397,0.030758930783933127,0.05319556564884249,0.07168952929742453,0.0004679552154000756,0.0004679552154000756,0.0013811687979032252,0.0023798808206463035,0.023921925559223175,0.04442170819302411,0.00047070296501354497,0.00047070296501354497,0.0013811022054415884,0.0023772833863767557,0.02392573509297715,0.04439726914195658,0.0004707458708878924,0.0004707458708878924,0.0013810029890474738,0.0023773498539706554,0.02392573509297715,0.04439726914195658
118,LC08_174083_20190822,0.0,0.0024303610100741076,0.00038289332766012406,0.01026560441290696,0.02199266583205401,0.044429330554645534,0.06303348806101504,0.00032225144297931763,0.00032225144297931763,0.0014205212442558043,0.0063292655572177465,0.017061828740503632,0.03859165356692143,0.00340848085801795,0.0003885199993132832,0.010257681609478198,0.022972688795144944,0.04443166468553872,0.06301879712507132,0.0003071496019649135,0.0003071496019649135,0.0003071496019649135,0.001375373586450623,0.017103792238238262,0.03764663145413168,0.0003071486515625936,0.0003071486515625936,0.0003071486515625936,0.0013744198797595805,0.01710429188047129,0.03764747337182875,0.00030714712382847993,0.00030714712382847993,0.00030714712382847993,0.0013743541885417267,0.017104660563479722,0.03764747337182875
119,LC08_174084_20190806,0.0,0.013631543611248024,0.002273082391557184,0.03707711144958757,0.111372564302206,0.2010813911186753,0.27553605318325214,0.005741131446676606,0.0022955941006877266,0.03712274090943846,0.11521276180269985,0.19735699680582675,0.2480008341104096,0.013633055303315019,0.0022675330600422957,0.03706385506867107,0.1073229261793331,0.20113042072797838,0.2756608279515119,0.005609389836446004,0.0018463230729664766,0.04485744261275634,0.14646888394321128,0.22842821352998247,0.27124279334816137,0.005615245907301845,0.0018518503434358999,0.044828530332354864,0.14645321987440602,0.22841805453138286,0.2831107743631658,0.00561677803319917,0.0018519514814593532,0.044828530332354864,0.14645734280541006,0.22842234280126042,0.28305911934853
120,LC08_174084_20190822,0.0,0.009673488668548025,0.0022586815058546284,0.025317136892780288,0.08402335569825566,0.17383160787346502,0.22060627925101128,0.005659626684312853,0.00203121645725432,0.021356593999884002,0.09181916109060191,0.1661434128857763,0.22092593582604303,0.009693127046798405,0.002269337207493632,0.0253170362876829,0.08404682678289804,0.173823417941265,0.22060465138745597,0.005662321935837684,0.0015393146919803087,0.033054520165040645,0.13862712319798634,0.22079268410557842,0.26744583363530167,0.005667948515172147,0.0015334555834505706,0.033026679324821596,0.13864107807269915,0.2207299301320784,0.27163588178395237,0.005669446864949247,0.001533402572724514,0.03302134704800709,0.13864585418203723,0.22073266170849584,0.27165831478368463
