temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
0.0001186811317239,0.0001186811317239,0.0001186811317239,0.0001186811317239,0.00339378698635,"['1_LC08_176083_20190617', '1_LC08_176083_20190601', '1_LC08_176083_20190516', '1_LC08_176083_20190414', '2_LC08_176083_20190703']",0
8.975148074313905e-05,3.831329620673516e-05,0.0001507691956456,0.0003958072191351,0.0011887024349675,"['1_LC08_175077_20190322', '1_LC08_175077_20190306', '1_LC08_175077_20190218', '1_LC08_175077_20190117', '2_LC08_175077_20190407']",0
1.4007987337638664e-05,1.4007987337638664e-05,0.0006686491576522,0.0021326799876133,0.0062833215349215,"['1_LC08_168079_20191116', '1_LC08_168079_20191031', '1_LC08_168079_20191015', '1_LC08_168079_20190929', '2_LC08_168079_20191202']",1
9.868175505671125e-05,9.868175505671125e-05,9.868175505671125e-05,0.0003448562444863,0.0008384688963428,"['1_LC08_175079_20190306', '1_LC08_175079_20190218', '1_LC08_175079_20190202', '1_LC08_175079_20190117', '2_LC08_175079_20190322']",0
0.0012817176397178,0.0004291760864581,0.0022580551716343,0.0033559018540773,0.0055555560342805,"['1_LC08_171081_20190310', '1_LC08_171081_20190222', '1_LC08_171081_20190206', '1_LC08_171081_20190121', '2_LC08_171081_20190326']",0
8.823796184801759e-05,8.823796184801759e-05,8.823796184801759e-05,0.0003418340947826,0.0015870675951835,"['1_LC08_172083_20190808', '1_LC08_172083_20190723', '1_LC08_172083_20190707', '1_LC08_172083_20190621', '2_LC08_172083_20190824']",0
0.0001099323390773,0.0001099323390773,0.000604820744515,0.0010939608604014,0.0025597986687741,"['1_LC08_173078_20190324', '1_LC08_173078_20190308', '1_LC08_173078_20190220', '1_LC08_173078_20190204', '2_LC08_173078_20190409']",0
0.0003624067467092,0.0001523614701362,0.0003624067467092,0.0008426930209181,0.0015768154460849,"['1_LC08_171077_20190716', '1_LC08_171077_20190630', '1_LC08_171077_20190614', '1_LC08_171077_20190529', '2_LC08_171077_20190801']",1
2.2109519371817077e-05,2.2109519371817077e-05,8.875641843187971e-05,0.0003351286841021,0.0013107536881139,"['1_LC08_174078_20190126', '1_LC08_174078_20190110', '1_LC08_174078_20181225', '1_LC08_174078_20181209', '2_LC08_174078_20190211']",0
8.41157038189285e-05,8.41157038189285e-05,8.41157038189285e-05,0.0003437980353603,0.0013314394935769,"['1_LC08_174083_20190705', '1_LC08_174083_20190619', '1_LC08_174083_20190603', '1_LC08_174083_20190518', '2_LC08_174083_20190721']",0
