temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
6.51960837911673e-05,6.51960837911673e-05,6.51960837911673e-05,6.51960837911673e-05,0.0021791203559141,"['1_LC08_172084_20190418', '1_LC08_172084_20190402', '1_LC08_172084_20190317', '1_LC08_172084_20190301', '2_LC08_172084_20190504']",0
0.000303541386813,3.766619664789518e-05,0.0006707117612722,0.0012816686166715,0.0028655807694753,"['1_LC08_169076_20190429', '1_LC08_169076_20190413', '1_LC08_169076_20190328', '1_LC08_169076_20190312', '2_LC08_169076_20190515']",0
9.99912802723093e-05,9.99912802723093e-05,0.0003572754469315,0.0010955982928197,0.0028055732009909,"['1_LC08_173078_20190308', '1_LC08_173078_20190220', '1_LC08_173078_20190204', '1_LC08_173078_20190119', '2_LC08_173078_20190324']",0
0.0003046756239632,6.648728780572854e-05,0.0005479707037896,0.0009129414357384,0.0020119967411276,"['1_LC08_170082_20190623', '1_LC08_170082_20190607', '1_LC08_170082_20190522', '1_LC08_170082_20190506', '2_LC08_170082_20190709']",1
2.268547749402912e-05,8.602603577958072e-06,5.305674935628362e-05,0.0001139234349462,0.0003123561757703,"['1_LC08_174078_20190603', '1_LC08_174078_20190518', '1_LC08_174078_20190502', '1_LC08_174078_20190416', '2_LC08_174078_20190619']",0
9.956305446178e-05,9.956305446178e-05,9.956305446178e-05,0.000699282052732,0.0056145931703811,"['1_LC08_175083_20190712', '1_LC08_175083_20190626', '1_LC08_175083_20190610', '1_LC08_175083_20190525', '2_LC08_175083_20190728']",0
4.315241882965012e-05,4.315241882965012e-05,4.315241882965012e-05,0.0003000867427677,0.0017701593468,"['1_LC08_172084_20190112', '1_LC08_172084_20181211', '1_LC08_172084_20181125', '1_LC08_172084_20181109', '2_LC08_172084_20190128']",0
6.540385096293945e-05,6.540385096293945e-05,6.540385096293945e-05,0.0006989068628252,0.0139130883336578,"['1_LC08_170084_20190404', '1_LC08_170084_20190319', '1_LC08_170084_20190303', '1_LC08_170084_20190215', '2_LC08_170084_20190420']",0
6.484862654243287e-05,6.484862654243287e-05,6.484862654243287e-05,6.484862654243287e-05,0.0008431788187889,"['1_LC08_174081_20190502', '1_LC08_174081_20190416', '1_LC08_174081_20190331', '1_LC08_174081_20190315', '2_LC08_174081_20190518']",0
7.723510694433991e-05,7.723510694433991e-05,7.723510694433991e-05,0.0003427526063284,0.0010927262399591,"['1_LC08_171083_20190121', '1_LC08_171083_20190105', '1_LC08_171083_20181220', '1_LC08_171083_20181204', '2_LC08_171083_20190206']",1
0.0001841899885053,4.028379486781689e-05,0.0005489082863337,0.0011588220889879,0.0026280809437734,"['1_LC08_170083_20190810', '1_LC08_170083_20190725', '1_LC08_170083_20190709', '1_LC08_170083_20190607', '2_LC08_170083_20190826']",1
7.606566802516781e-05,7.606566802516781e-05,7.606566802516781e-05,7.606566802516781e-05,0.0006668544630601,"['1_LC08_174082_20190416', '1_LC08_174082_20190331', '1_LC08_174082_20190315', '1_LC08_174082_20190227', '2_LC08_174082_20190502']",0
7.399967869555435e-05,7.399967869555435e-05,7.399967869555435e-05,0.0003505447694379,0.0015848044831979,"['1_LC08_175083_20190202', '1_LC08_175083_20190117', '1_LC08_175083_20190101', '1_LC08_175083_20181216', '2_LC08_175083_20190218']",1
0.0002750247079134,9.34199231737232e-05,0.0004573197061975,0.0008226245820464,0.0016186792615317,"['1_LC08_168076_20190913', '1_LC08_168076_20190828', '1_LC08_168076_20190812', '1_LC08_168076_20190727', '2_LC08_168076_20190929']",0
1.4489681700123532e-05,1.4489681700123532e-05,1.4489681700123532e-05,1.4489681700123532e-05,0.0001486384961133,"['1_LC08_176079_20190108', '1_LC08_176079_20181223', '1_LC08_176079_20181207', '1_LC08_176079_20181121', '2_LC08_176079_20190124']",0
0.0001824971172043,6.630787189862539e-05,0.0003013342872096,0.0005440694622194,0.0015214725162904,"['1_LC08_172079_20190723', '1_LC08_172079_20190707', '1_LC08_172079_20190621', '1_LC08_172079_20190605', '2_LC08_172079_20190808']",1
5.2096468776891264e-05,5.2096468776891264e-05,5.2096468776891264e-05,0.0006984035809787,0.0148935853569508,"['1_LC08_170084_20190319', '1_LC08_170084_20190303', '1_LC08_170084_20190215', '1_LC08_170084_20190130', '2_LC08_170084_20190404']",0
